Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Multiplelines,Internetservice,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Paymentmethod,Monthlycharges,Totalcharges,Churn,Churn_Numeric,Num_Internet_Services
Female,1,No,Yes,21,Yes,No,Fiber Optic,No,No,No,Yes,No,No,One Year,No,Bank Transfer (Automatic),114.76,8.050968014819151,No,0.0,1
Male,0,No,Yes,23,Yes,No,Dsl,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card (Automatic),90.48,8.699733057712272,Yes,1.0,4
Male,0,No,Yes,37,Yes,No,Dsl,Yes,No,No,Yes,No,Yes,Two Year,No,Electronic Check,119.16,8.422867127211267,No,0.0,3
Male,0,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,80.65,6.814147649016961,Yes,1.0,1
Male,1,No,Yes,40,Yes,No,No,No,Yes,No,Yes,No,No,One Year,Yes,Mailed Check,114.72,8.717821158692825,No,0.0,2
Male,0,Yes,No,18,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,34.16,7.772445300800334,Yes,1.0,3
Female,0,No,No,1,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,43.8,7.702953504939425,Yes,1.0,1
Female,0,No,No,61,Yes,Yes,Dsl,No,No,No,No,Yes,No,Two Year,Yes,Mailed Check,86.07,8.610625245008784,No,0.0,1
Female,0,Yes,No,15,Yes,No,Dsl,Yes,No,Yes,No,Yes,Yes,Two Year,Yes,Electronic Check,68.9,6.655710584121488,No,0.0,4
Female,0,Yes,No,21,No,No,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Credit Card (Automatic),56.36,6.420222915185438,Yes,1.0,3
Female,0,Yes,No,13,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Transfer (Automatic),55.5,5.508254090374964,No,0.0,6
Male,0,No,No,55,Yes,Yes,Dsl,No,No,No,No,No,Yes,Two Year,Yes,Electronic Check,50.13,7.426013214565423,No,0.0,1
Female,1,Yes,Yes,64,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),101.1,7.512366284274559,Yes,1.0,2
Female,0,No,Yes,44,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic Check,55.48,8.08083785511223,No,0.0,6
Male,1,Yes,No,53,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-To-Month,No,Mailed Check,27.69,5.7121143347757375,Yes,1.0,2
Female,0,No,No,65,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Two Year,Yes,Electronic Check,35.11,7.820423457325143,No,0.0,1
Male,0,No,No,45,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,69.42,8.101071503119543,No,0.0,3
Female,0,No,Yes,32,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,32.76,6.620926175981794,Yes,1.0,2
Male,0,No,No,49,Yes,No,Dsl,No,No,No,Yes,Yes,No,One Year,Yes,Credit Card (Automatic),103.25,8.872363804416356,No,0.0,2
Female,0,Yes,Yes,21,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,Yes,Mailed Check,111.48,8.708675988935731,No,0.0,3
Female,0,Yes,Yes,39,Yes,No,Dsl,No,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,26.61,5.269300417477544,No,0.0,3
Male,0,No,No,38,Yes,No,Dsl,No,No,No,Yes,Yes,No,One Year,Yes,Electronic Check,107.14,8.841361472438429,No,0.0,2
Male,1,Yes,Yes,40,Yes,No,Fiber Optic,No,No,No,No,No,No,Two Year,Yes,Electronic Check,88.64,8.328393094124483,No,0.0,0
Male,1,No,No,67,Yes,Yes,Dsl,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Mailed Check,52.54,6.7488298849944925,Yes,1.0,5
Male,0,Yes,No,6,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),45.23,4.699934762432514,Yes,1.0,3
Male,0,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,60.55,8.16107523518819,Yes,1.0,5
Male,0,No,Yes,3,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,79.96,7.9092066763353746,No,0.0,3
Male,0,No,No,58,Yes,No,Dsl,No,No,No,No,Yes,No,One Year,Yes,Mailed Check,44.06,6.028447180705516,No,0.0,1
Male,1,Yes,Yes,25,Yes,Yes,Dsl,Yes,Yes,No,No,No,No,Two Year,Yes,Mailed Check,108.02,8.445871181018486,No,0.0,2
Female,0,No,No,30,Yes,Yes,No,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,22.78,7.189477124517772,Yes,1.0,2
Female,0,Yes,No,68,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,27.03,7.156909598128492,No,0.0,6
Male,1,Yes,No,51,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,One Year,Yes,Electronic Check,67.72,8.307765150987969,No,0.0,2
Female,0,Yes,No,71,No,Yes,Dsl,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Mailed Check,54.28,7.8486878904524495,No,0.0,4
Female,0,No,No,20,Yes,Yes,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,51.14,8.211276541635094,Yes,1.0,3
Female,0,No,Yes,15,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-To-Month,No,Electronic Check,65.65,7.564746644785624,Yes,1.0,3
Female,0,Yes,No,50,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Electronic Check,77.35,6.934299834204249,Yes,1.0,5
Male,0,No,No,15,No,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,34.83,7.648167652009197,Yes,1.0,3
Female,0,No,No,17,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),104.91,8.07863551466219,No,0.0,4
Male,0,Yes,Yes,46,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,54.37,7.6381452563694205,Yes,1.0,3
Female,0,No,No,55,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,69.22,8.159429083124724,Yes,1.0,2
Female,0,No,No,27,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,76.67,6.398262100449925,Yes,1.0,3
Female,0,Yes,No,55,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-To-Month,No,Credit Card (Automatic),84.81,6.984957031885604,Yes,1.0,3
Male,0,No,No,36,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,31.28,6.213987906142712,Yes,1.0,1
Female,0,Yes,Yes,15,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Electronic Check,104.45,7.596542970764629,No,0.0,3
Male,0,No,No,64,Yes,Yes,Dsl,No,No,No,No,No,Yes,One Year,Yes,Bank Transfer (Automatic),26.42,7.025342739959484,No,0.0,1
Female,0,No,Yes,59,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,41.9,7.77482635446828,No,0.0,5
Male,0,Yes,Yes,60,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),29.84,7.36564837080769,Yes,1.0,1
Female,0,Yes,Yes,10,Yes,Yes,Dsl,No,No,No,No,Yes,No,One Year,No,Mailed Check,96.31,6.929232973158367,No,0.0,1
Male,0,No,Yes,65,No,No,Fiber Optic,No,No,No,No,Yes,Yes,One Year,No,Electronic Check,91.34,7.9431188809851,No,0.0,2
Male,0,Yes,No,31,No,Yes,Dsl,Yes,No,No,No,Yes,Yes,One Year,No,Mailed Check,49.89,7.919428915288845,No,0.0,3
Female,0,Yes,No,18,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,98.2,7.836460629589067,No,0.0,5
Male,0,No,Yes,55,Yes,Yes,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,No,Mailed Check,110.91,7.661936409337095,Yes,1.0,3
Female,0,Yes,Yes,4,Yes,Yes,No,Yes,No,No,No,Yes,No,Month-To-Month,No,Bank Transfer (Automatic),38.45,5.598718211407593,Yes,1.0,2
Female,0,No,Yes,2,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,One Year,Yes,Bank Transfer (Automatic),56.74,7.787054171916389,No,0.0,1
Female,0,No,No,27,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Transfer (Automatic),72.91,7.167701237087113,Yes,1.0,4
Female,0,Yes,Yes,71,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Electronic Check,50.48,7.252457839095822,No,0.0,3
Female,0,No,Yes,28,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,No,No,Month-To-Month,No,Electronic Check,86.47,7.9482263180442425,Yes,1.0,4
Female,1,Yes,Yes,58,No,Yes,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,103.37,7.736931355806394,No,0.0,1
Female,0,No,Yes,24,Yes,No,Dsl,Yes,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,93.07,8.773848885262895,Yes,1.0,5
Female,0,Yes,Yes,21,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Mailed Check,114.37,8.817337783066597,Yes,1.0,4
Female,0,Yes,No,70,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Electronic Check,58.78,6.5278409517179785,Yes,1.0,4
Female,0,No,Yes,22,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Two Year,No,Bank Transfer (Automatic),38.23,5.828357209237832,No,0.0,3
Female,0,Yes,No,69,Yes,No,Dsl,No,Yes,No,Yes,Yes,No,Month-To-Month,No,Bank Transfer (Automatic),106.99,8.150782436470452,No,0.0,3
Male,0,Yes,No,39,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Month-To-Month,No,Credit Card (Automatic),118.81,8.445710078994374,Yes,1.0,2
Male,0,Yes,No,13,No,No,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,No,Electronic Check,64.72,6.808376835001858,No,0.0,3
Female,0,No,No,28,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Two Year,Yes,Mailed Check,39.08,7.442580592396008,No,0.0,2
Female,0,No,No,15,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,48.8,7.539175980904317,Yes,1.0,1
Female,0,Yes,Yes,9,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-To-Month,No,Mailed Check,64.13,7.607242320088262,No,0.0,3
Female,0,Yes,No,46,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,34.06,6.4492057997815175,Yes,1.0,1
Female,0,No,No,3,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Bank Transfer (Automatic),59.11,7.48992620509862,No,0.0,4
Female,1,No,Yes,11,Yes,Yes,Dsl,No,No,No,No,No,No,Two Year,Yes,Electronic Check,89.66,8.71177429196588,No,0.0,0
Female,0,No,No,41,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,One Year,Yes,Mailed Check,72.0,7.681956962870025,No,0.0,4
Female,1,Yes,Yes,3,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),98.42,8.590599774797209,Yes,1.0,2
Male,0,No,Yes,5,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Mailed Check,30.59,4.223909766576744,Yes,1.0,4
Female,0,Yes,Yes,13,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),103.9,7.0890012575491586,Yes,1.0,4
Male,0,No,Yes,34,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),53.39,6.8973614497981215,Yes,1.0,4
Female,0,Yes,Yes,46,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Two Year,Yes,Mailed Check,55.35,7.883465200548913,No,0.0,1
Female,0,No,No,57,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Two Year,No,Bank Transfer (Automatic),79.27,8.040778656156652,No,0.0,2
Male,0,Yes,Yes,64,Yes,No,Dsl,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),92.05,8.28870287157669,No,0.0,3
Female,0,No,Yes,18,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Electronic Check,35.47,7.04182277787601,Yes,1.0,4
Male,1,No,No,56,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,22.03,7.106655316845858,No,0.0,4
Female,0,Yes,No,64,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,47.68,6.069674807644542,Yes,1.0,2
Female,0,No,No,12,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,52.88,7.46956294870291,Yes,1.0,1
Male,0,No,No,7,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Two Year,No,Electronic Check,35.24,7.525149288636914,No,0.0,3
Female,0,No,Yes,17,Yes,Yes,Dsl,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),96.71,7.951583978738822,Yes,1.0,3
Male,0,No,No,34,Yes,Yes,Dsl,Yes,Yes,Yes,No,No,No,Month-To-Month,No,Credit Card (Automatic),85.58,7.735870319952567,No,0.0,3
Female,0,Yes,Yes,25,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,40.34,7.25886979234022,Yes,1.0,3
Male,1,Yes,No,37,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,Yes,Month-To-Month,No,Credit Card (Automatic),35.51,4.646791860678911,Yes,1.0,5
Male,0,No,No,65,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),68.64,8.236205991542384,Yes,1.0,2
Female,0,Yes,No,25,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,No,Electronic Check,105.52,8.643168357531357,No,0.0,2
Female,0,Yes,No,56,Yes,Yes,Dsl,No,No,No,No,No,No,Two Year,Yes,Mailed Check,57.58,8.154022912674401,No,0.0,0
Male,1,Yes,No,24,Yes,No,Dsl,Yes,Yes,Yes,No,Yes,No,One Year,No,Mailed Check,82.97,6.8008491249961285,No,0.0,4
Female,0,Yes,Yes,29,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),42.33,7.795473681889953,Yes,1.0,2
Female,0,Yes,Yes,6,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),110.51,8.706872612613385,Yes,1.0,4
Female,0,No,Yes,26,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,One Year,No,Mailed Check,101.54,8.785432471823368,No,0.0,2
Male,0,Yes,No,10,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Two Year,No,Electronic Check,103.21,6.808597707448919,No,0.0,1
Male,0,No,Yes,7,Yes,No,Dsl,No,No,No,No,No,Yes,One Year,No,Credit Card (Automatic),21.08,7.124115877999515,Yes,1.0,1
Male,0,Yes,No,10,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-To-Month,Yes,Electronic Check,68.91,7.575533368191541,No,0.0,2
Male,0,No,No,29,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Electronic Check,22.63,5.054333149361975,Yes,1.0,4
Male,0,No,Yes,14,Yes,Yes,No,No,Yes,No,No,Yes,No,One Year,Yes,Electronic Check,104.82,8.719637585671533,No,0.0,2
Male,0,No,Yes,55,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,One Year,No,Electronic Check,37.2,7.641689253442803,No,0.0,2
Male,0,Yes,No,34,Yes,Yes,Dsl,No,Yes,Yes,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),92.45,8.334913233757026,No,0.0,3
Male,0,Yes,No,38,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,One Year,Yes,Electronic Check,44.81,7.358754462300175,No,0.0,2
Male,0,No,Yes,23,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,Yes,Two Year,No,Electronic Check,103.46,7.669560608348981,No,0.0,4
Female,0,No,No,7,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,51.39,8.150205250869062,Yes,1.0,3
Male,0,Yes,Yes,42,Yes,No,Dsl,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,24.1,7.129393698153042,No,0.0,4
Female,0,Yes,Yes,41,Yes,Yes,Dsl,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),24.73,6.679875529567487,No,0.0,2
Female,0,No,No,40,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,105.81,8.023106683654524,No,0.0,2
Female,1,Yes,No,46,No,Yes,Dsl,Yes,Yes,No,Yes,No,No,One Year,No,Bank Transfer (Automatic),109.47,8.582036666050763,No,0.0,3
Male,0,Yes,No,25,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic Check,94.6,7.903559347668565,No,0.0,5
Male,0,Yes,No,51,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),117.14,7.60019721091272,Yes,1.0,3
Male,0,Yes,Yes,21,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,111.42,8.352940995974638,No,0.0,5
Male,0,Yes,No,4,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Mailed Check,91.71,8.510102109013562,No,0.0,3
Female,0,Yes,Yes,14,Yes,Yes,Dsl,No,No,No,Yes,No,No,One Year,No,Credit Card (Automatic),21.25,7.281640276714514,No,0.0,1
Male,0,No,Yes,35,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,38.81,6.657073507674455,Yes,1.0,3
Male,0,No,No,62,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),41.87,6.999668787533656,Yes,1.0,3
Male,0,No,Yes,48,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Two Year,No,Electronic Check,47.99,6.0656439452822335,No,0.0,4
Male,0,No,No,54,Yes,No,Dsl,No,No,No,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,47.1,7.969499551400561,No,0.0,2
Male,0,No,No,71,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),39.09,7.5101623211724435,Yes,1.0,4
Female,0,No,Yes,59,Yes,No,Dsl,Yes,No,Yes,No,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),68.58,8.290601201064895,Yes,1.0,4
Male,0,Yes,Yes,56,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,One Year,No,Electronic Check,116.1,6.516932447610842,No,0.0,3
Female,1,Yes,Yes,28,Yes,Yes,Dsl,Yes,No,No,Yes,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),24.61,6.666549584849519,Yes,1.0,2
Male,1,No,No,18,Yes,Yes,No,Yes,No,No,No,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),36.99,7.69008938497578,Yes,1.0,2
Female,0,No,No,9,Yes,Yes,Dsl,No,No,No,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),56.47,6.419897203502538,Yes,1.0,1
Male,0,No,Yes,9,Yes,Yes,No,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),80.95,8.10182319142254,No,0.0,2
Male,0,Yes,No,56,Yes,Yes,Dsl,No,No,No,No,Yes,No,One Year,Yes,Credit Card (Automatic),33.46,7.130378695049459,No,0.0,1
Female,0,Yes,No,53,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Two Year,No,Electronic Check,75.98,4.392719264212625,Yes,1.0,3
Female,0,Yes,Yes,55,Yes,No,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),33.34,6.646624253762427,Yes,1.0,2
Female,0,Yes,No,67,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Electronic Check,40.4,7.198721951225134,No,0.0,2
