Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Multiplelines,Internetservice,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Paymentmethod,Monthlycharges,Totalcharges,Num_Internet_Services
Female,0,Yes,Yes,6,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,93.58,5.933914880267971,6
Male,0,No,No,68,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),32.8,6.698231062062535,3
Male,0,Yes,No,18,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Electronic Check,64.04,6.948993186998382,5
Male,0,Yes,No,53,Yes,No,Dsl,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,65.7,8.445946353082004,3
Female,0,No,Yes,4,Yes,Yes,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Mailed Check,99.68,8.19062890851267,1
Male,0,Yes,No,64,Yes,Yes,Dsl,Yes,No,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),118.12,7.344046993742336,1
Male,0,No,Yes,13,No,Yes,Dsl,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Mailed Check,32.25,7.439265493940961,4
Male,0,Yes,Yes,23,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,50.62,6.111289940176331,1
Male,0,No,No,46,No,No,Dsl,No,No,No,No,Yes,Yes,One Year,No,Bank Transfer (Automatic),40.99,7.712166514966869,2
Female,0,No,Yes,8,Yes,No,Dsl,No,Yes,Yes,No,Yes,Yes,One Year,No,Electronic Check,21.56,6.817546067091654,4
Female,0,Yes,No,11,Yes,No,No,No,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,35.47,7.171841137578731,0
Female,0,Yes,No,51,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,35.49,6.3593835391421765,3
Female,0,No,No,12,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,No,Credit Card (Automatic),34.5,6.98234313597271,3
Female,1,Yes,No,58,Yes,Yes,Dsl,No,No,No,Yes,Yes,Yes,Two Year,No,Credit Card (Automatic),42.18,7.219627398735117,3
Male,1,Yes,No,46,No,No,Dsl,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,86.73,8.059326806914042,4
Male,0,No,Yes,39,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-To-Month,No,Mailed Check,82.79,8.348343677752787,3
Male,0,Yes,No,49,Yes,No,Dsl,Yes,Yes,No,Yes,Yes,No,Month-To-Month,No,Electronic Check,119.0,8.832208289935657,4
Female,0,Yes,Yes,29,Yes,No,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),61.38,8.008741414511633,3
Male,0,No,Yes,65,No,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),91.05,8.70297043710021,1
Female,0,Yes,No,32,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Two Year,No,Mailed Check,76.24,7.294139499277509,4
Female,0,No,No,36,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Transfer (Automatic),112.89,8.976253409367613,3
Female,0,Yes,No,0,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,No,Mailed Check,64.45,8.189857885621135,3
Female,0,Yes,No,26,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,Yes,Electronic Check,72.86,8.423023161394058,3
Male,0,Yes,Yes,64,Yes,No,No,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),28.11,7.487028025341239,3
Male,1,No,No,68,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,One Year,Yes,Credit Card (Automatic),98.96,8.344450411309236,4
Female,0,No,Yes,28,No,Yes,Dsl,Yes,No,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,54.02,8.210428872131953,2
Female,0,No,No,41,Yes,No,Dsl,Yes,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,36.39,7.271807940509754,5
Male,0,Yes,No,10,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,58.01,7.515486173354811,3
Male,0,Yes,Yes,53,Yes,No,Dsl,Yes,No,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,89.39,7.757739527794648,2
Male,0,No,Yes,21,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,39.54,7.194376789236597,3
Female,0,Yes,Yes,20,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,One Year,Yes,Bank Transfer (Automatic),55.04,8.119830172561048,3
Female,0,No,No,54,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,23.58,7.387418355194266,2
Female,0,Yes,Yes,2,Yes,No,Dsl,No,No,Yes,No,Yes,Yes,Two Year,No,Credit Card (Automatic),84.39,7.877199973127225,3
Female,0,No,Yes,31,Yes,No,Fiber Optic,No,No,No,No,Yes,No,One Year,Yes,Mailed Check,23.69,6.873815795552573,1
Male,0,No,No,33,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,One Year,No,Credit Card (Automatic),114.23,8.344338680395195,2
Female,0,Yes,Yes,61,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,No,Electronic Check,82.74,8.546969445741519,2
Male,0,Yes,Yes,9,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,One Year,No,Electronic Check,107.21,6.409911689439316,1
Female,0,Yes,No,28,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Month-To-Month,No,Electronic Check,28.81,4.94741146392922,4
Female,1,Yes,Yes,53,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),56.44,7.23539577318252,1
Male,0,No,No,46,Yes,No,Dsl,No,No,Yes,Yes,Yes,No,One Year,Yes,Electronic Check,38.6,7.844754110441622,3
Male,0,Yes,Yes,39,Yes,No,Dsl,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,103.37,8.765520941789463,3
Female,0,No,Yes,9,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,113.99,8.735515539384448,3
Female,0,No,No,55,Yes,No,Dsl,No,No,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,55.21,8.100850132348375,2
Male,1,No,Yes,48,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Mailed Check,45.54,7.191113014953797,2
Male,0,Yes,No,55,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Credit Card (Automatic),94.0,8.204751104102604,2
Male,0,Yes,No,37,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),35.51,7.271988586388741,3
Male,0,No,No,55,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-To-Month,No,Electronic Check,25.95,6.366607895329757,3
Female,0,Yes,Yes,53,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Two Year,Yes,Mailed Check,106.25,8.767824275159327,1
Male,0,No,Yes,55,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,One Year,No,Electronic Check,49.06,7.575553881853641,2
Male,0,Yes,Yes,39,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),51.46,7.05787211952264,3
Male,1,Yes,Yes,32,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),67.52,8.24133164710268,4
Female,0,No,Yes,11,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Two Year,Yes,Mailed Check,94.46,8.591617684900369,1
Female,0,Yes,No,30,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,34.1,6.9780646168801335,0
Male,1,No,No,15,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Two Year,Yes,Bank Transfer (Automatic),87.08,6.319598545613129,3
Male,0,No,No,60,Yes,No,Fiber Optic,Yes,No,No,No,No,No,One Year,Yes,Bank Transfer (Automatic),111.2,8.842146481835966,1
Female,0,Yes,No,55,Yes,No,Dsl,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,73.2,8.426497946400255,3
Female,0,No,No,29,No,Yes,Dsl,No,Yes,No,No,Yes,Yes,Month-To-Month,No,Mailed Check,92.84,5.876642747660643,3
Female,0,Yes,Yes,24,Yes,Yes,Dsl,No,No,No,No,No,No,One Year,No,Electronic Check,55.57,7.071590341996101,0
Female,1,No,No,44,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),94.54,8.502879233776753,4
Male,0,No,No,25,Yes,Yes,Dsl,No,No,Yes,No,Yes,No,One Year,No,Bank Transfer (Automatic),62.94,8.112845458811488,2
Female,0,Yes,Yes,51,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-To-Month,No,Mailed Check,83.25,8.682010776978716,2
Female,0,No,Yes,69,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,40.7,7.890503938753588,1
Female,1,No,No,64,Yes,Yes,Dsl,No,No,Yes,No,Yes,No,Two Year,Yes,Credit Card (Automatic),79.42,8.000849035188462,2
Female,0,No,Yes,10,Yes,No,Dsl,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card (Automatic),37.76,7.445370826637893,5
Male,0,No,No,21,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,37.07,7.556208394891198,1
Female,0,Yes,No,56,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Month-To-Month,No,Bank Transfer (Automatic),35.22,6.620326507780219,4
Male,0,No,Yes,68,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,63.47,7.084041996039668,2
Female,1,No,No,66,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,Two Year,Yes,Electronic Check,111.18,6.689798254355227,3
Male,0,Yes,No,57,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),35.95,7.7917046208056275,3
Female,0,Yes,Yes,39,Yes,Yes,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Mailed Check,106.81,7.53655591997487,1
Male,0,Yes,No,25,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Mailed Check,119.77,8.974079919011269,3
Female,0,No,Yes,34,Yes,Yes,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,29.7,4.88778946409741,5
Female,0,No,No,49,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Two Year,Yes,Mailed Check,49.6,7.427019199965257,3
Male,0,Yes,Yes,13,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,Month-To-Month,No,Electronic Check,28.3,7.151845900507056,4
Female,0,Yes,Yes,39,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Month-To-Month,No,Bank Transfer (Automatic),81.87,7.421949223580882,2
Female,0,Yes,Yes,37,Yes,No,Dsl,Yes,No,Yes,No,Yes,No,Month-To-Month,Yes,Mailed Check,115.85,8.931434343813168,3
Male,0,Yes,No,16,Yes,Yes,Dsl,No,Yes,Yes,No,No,No,Two Year,No,Mailed Check,36.01,6.562302840780143,2
Female,1,Yes,No,12,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),76.01,7.729278084006257,2
Female,1,Yes,Yes,40,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),56.15,7.772908493808506,2
Female,0,No,Yes,51,Yes,Yes,Dsl,No,No,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),104.21,8.646164954712242,1
Female,0,Yes,Yes,61,Yes,No,Dsl,No,No,No,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),106.93,8.079902994979076,1
Female,1,Yes,Yes,13,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,113.4,8.860736086200124,2
Female,0,No,No,68,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),42.66,7.432288522577989,4
Male,0,Yes,No,67,No,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Mailed Check,118.03,7.585829430044561,2
Male,0,Yes,Yes,30,Yes,Yes,Dsl,Yes,No,Yes,No,Yes,No,One Year,Yes,Credit Card (Automatic),90.57,8.614555808983,3
Female,0,Yes,No,31,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),91.55,8.460576277997292,4
Female,0,Yes,No,63,Yes,No,Dsl,Yes,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),23.71,6.75427770590103,4
Female,0,No,No,9,Yes,Yes,Dsl,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,29.98,7.155560222887184,1
Male,0,No,Yes,2,Yes,Yes,Dsl,No,Yes,Yes,Yes,No,No,One Year,Yes,Electronic Check,93.27,8.55974488913703,3
Male,0,Yes,Yes,19,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),103.0,8.197607569951447,4
Male,1,Yes,No,60,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Transfer (Automatic),90.69,7.326919458205808,3
Male,0,No,No,59,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,58.27,6.196505225724338,5
Female,1,Yes,No,24,Yes,Yes,Dsl,No,No,Yes,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),67.52,6.879366092473361,2
Male,0,No,No,58,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),44.86,7.588075545287189,5
Male,0,Yes,No,15,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Bank Transfer (Automatic),47.29,7.731079482554032,2
Male,0,Yes,Yes,49,Yes,Yes,Dsl,No,No,Yes,Yes,No,Yes,Two Year,No,Electronic Check,94.89,6.526275216124434,3
Male,0,Yes,Yes,0,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Two Year,No,Electronic Check,33.65,6.064366435091649,2
Male,0,No,No,45,Yes,No,Dsl,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,114.52,7.926122339470817,3
Female,0,Yes,No,41,No,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,Yes,Mailed Check,59.27,6.860726562552361,3
Male,0,Yes,Yes,71,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),91.32,7.851443255313181,3
Male,0,No,Yes,17,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-To-Month,No,Mailed Check,43.53,7.975189889068562,4
Male,0,No,Yes,29,Yes,Yes,Dsl,No,Yes,Yes,No,No,No,Two Year,Yes,Electronic Check,104.69,6.072998450089244,2
Female,0,Yes,Yes,30,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,One Year,No,Mailed Check,33.93,7.482670573167285,3
Female,0,Yes,Yes,36,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Two Year,Yes,Bank Transfer (Automatic),98.32,8.411788230326284,2
Female,0,Yes,Yes,0,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Credit Card (Automatic),54.57,7.434269195412443,2
Female,1,No,Yes,56,Yes,No,Dsl,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card (Automatic),61.33,8.09870363218532,3
Female,0,Yes,No,5,Yes,No,Dsl,No,Yes,Yes,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),95.16,7.255435894951288,3
Female,0,Yes,Yes,68,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-To-Month,No,Electronic Check,24.22,6.402563753833239,2
Male,0,Yes,Yes,29,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),107.0,6.408034434948252,2
Female,0,Yes,Yes,42,Yes,No,Dsl,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,31.99,4.515792374836875,3
Female,0,Yes,No,51,Yes,No,Dsl,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),59.7,8.247078570376578,2
Male,0,Yes,Yes,65,Yes,Yes,Dsl,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,45.27,7.931539849361919,3
Male,1,No,No,20,Yes,Yes,Dsl,No,No,Yes,No,No,Yes,One Year,Yes,Mailed Check,73.37,6.63354209247732,2
Female,0,Yes,Yes,13,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,78.76,7.645751534478252,3
Female,1,Yes,Yes,59,Yes,Yes,Fiber Optic,No,No,No,No,No,No,One Year,No,Mailed Check,86.41,8.627678552591313,0
Female,0,No,No,66,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,25.79,7.438542340962598,2
Female,1,Yes,Yes,43,Yes,No,Dsl,No,No,No,Yes,No,Yes,Month-To-Month,No,Credit Card (Automatic),59.6,7.44870071264399,2
Male,0,No,No,65,Yes,Yes,Dsl,No,No,No,No,Yes,Yes,One Year,No,Electronic Check,70.96,8.423326369469626,2
Female,1,No,Yes,53,Yes,No,Dsl,Yes,No,No,Yes,Yes,No,Month-To-Month,No,Electronic Check,115.85,6.681469295395431,3
Male,0,Yes,Yes,48,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),90.45,7.943640737741942,3
Female,0,Yes,No,36,No,No,Dsl,No,Yes,No,No,Yes,Yes,Month-To-Month,No,Mailed Check,85.43,8.703005315751573,3
Female,0,No,No,64,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,32.05,6.871070547507359,1
Female,1,No,Yes,47,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Month-To-Month,No,Credit Card (Automatic),88.89,7.958171227132645,4
Male,0,No,Yes,48,Yes,Yes,No,No,No,No,No,Yes,No,Two Year,No,Credit Card (Automatic),20.14,5.771721457664394,1
Female,1,Yes,No,52,Yes,No,No,No,No,Yes,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),54.97,8.145184135763712,2
Female,0,No,Yes,6,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,106.82,8.84127324686438,3
Male,0,No,Yes,69,Yes,No,Dsl,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),82.84,7.935290382633089,2
Male,0,Yes,Yes,34,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),119.0,8.935471854170055,3
Male,1,Yes,Yes,14,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),98.78,8.053887083618223,2
Female,0,No,No,56,Yes,No,Fiber Optic,No,No,No,No,Yes,No,One Year,Yes,Bank Transfer (Automatic),61.22,5.49108418120353,1
